adubacao,banana,?,NE,BA,pequena,cluster2
adubacao,?,?,NE,BA,pequena,cluster2
'manejo organico',?,?,NE,SE,pequena,cluster2
manejo,?,latossolo,NE,PE,pequena,cluster2
npk,?,?,NE,BA,pequena,cluster2
manejo,mandioca,?,NE,BA,pequena,cluster2
adubacao,nogueira,?,NE,AL,pequena,cluster2
manejo,?,?,NE,MA,pequena,cluster2
adubacao,?,neossolo,NE,PI,pequena,cluster2
'manejo organico',?,?,NE,SE,pequena,cluster2
adubacao,cenoura,?,NE,CE,pequena,cluster2
adubacao,milho,?,NE,MA,pequena,cluster2
manejo,?,?,NE,BA,pequena,cluster2
fertilizante,milho,latossolo,NE,BA,pequena,cluster2
manejo,?,latossolo,NE,PE,pequena,cluster2
manejo,?,latossolo,NE,PE,pequena,cluster2
manejo,pessego,?,NE,BA,pequena,cluster2
adubacao,?,?,NE,BA,pequena,cluster2
manejo,?,?,NE,BA,pequena,cluster2
manejo,banana,?,NE,BA,pequena,cluster2
subsolagem,soja,?,NE,BA,pequena,cluster2
npk,?,?,NE,BA,pequena,cluster2
adubacao,?,?,NE,BA,pequena,cluster2
adubacao,?,?,NE,BA,pequena,cluster2
adubacao,milho,?,NE,MA,pequena,cluster2
'adubacao mineral',mandioca,?,NE,BA,pequena,cluster2
manejo,?,?,NE,CE,pequena,cluster2
manejo,?,?,NE,MA,pequena,cluster2
'manejo organico',milho,?,NE,CE,pequena,cluster2
adubacao,mandioca,?,NE,BA,pequena,cluster2
manejo,?,latossolo,NE,PE,pequena,cluster2
manejo,?,?,NE,BA,pequena,cluster2
adubacao,?,?,NE,PE,pequena,cluster2
adubacao,banana,?,NE,BA,pequena,cluster2
adubacao,mandioca,?,NE,BA,pequena,cluster2
manejo,?,argissolo,NE,MA,pequena,cluster2
manejo,?,?,NE,PI,pequena,cluster2
manejo,?,?,NE,PI,pequena,cluster2
adubacao,banana,?,NE,BA,pequena,cluster2
adubacao,?,?,NE,CE,pequena,cluster2
manejo,?,?,NE,PE,pequena,cluster2
'manejo organico',cenoura,?,NE,CE,pequena,cluster2
manejo,mandioca,?,NE,BA,pequena,cluster2
manejo,?,?,NE,BA,pequena,cluster2
manejo,soja,?,NE,BA,pequena,cluster2
adubacao,?,?,NE,BA,pequena,cluster2
npk,?,?,NE,BA,pequena,cluster2
manejo,cenoura,?,NE,CE,pequena,cluster2
manejo,milho,?,NE,BA,pequena,cluster2
'adubacao organica',banana,?,NE,BA,pequena,cluster2
manejo,beterraba,?,NE,CE,pequena,cluster2
manejo,mandioca,?,NE,BA,pequena,cluster2
manejo,mandioca,?,NE,BA,pequena,cluster2
manejo,?,?,NE,BA,pequena,cluster2
'manejo organico',maca,?,NE,PE,pequena,cluster2
aracao,?,?,NE,PE,pequena,cluster2
manejo,banana,?,NE,BA,pequena,cluster2
'adubacao mineral',mandioca,?,NE,BA,pequena,cluster2
manejo,beterraba,?,NE,CE,pequena,cluster2
'plantio direto',feijao,?,NE,BA,pequena,cluster2
manejo,feijao,?,NE,BA,pequena,cluster2
manejo,banana,?,NE,PE,pequena,cluster2
manejo,?,?,NE,MA,pequena,cluster2
adubacao,banana,?,NE,BA,pequena,cluster2
manejo,?,?,NE,BA,pequena,cluster2
manejo,?,?,NE,AL,pequena,cluster2
adubacao,banana,?,NE,BA,pequena,cluster2
manejo,?,?,NE,BA,pequena,cluster2
'adubacao organica',banana,?,NE,BA,pequena,cluster2
manejo,?,?,NE,PI,pequena,cluster2
'plantio direto',soja,?,NE,BA,pequena,cluster2
manejo,soja,?,NE,BA,pequena,cluster2
manejo,limao,?,NE,PI,pequena,cluster2
manejo,?,?,NE,MA,pequena,cluster2
manejo,feijao,?,NE,BA,pequena,cluster2
manejo,soja,?,NE,BA,pequena,cluster2
manejo,banana,latossolo,NE,BA,pequena,cluster2
adubacao,cenoura,?,NE,CE,pequena,cluster2
manejo,soja,?,NE,BA,pequena,cluster2
manejo,banana,latossolo,NE,BA,pequena,cluster2
manejo,?,?,NE,PI,pequena,cluster2
manejo,feijao,?,NE,BA,pequena,cluster2
manejo,melancia,?,NE,PI,pequena,cluster2
'manejo organico',milho,?,NE,CE,pequena,cluster2
adubacao,maca,?,NE,BA,pequena,cluster2
manejo,soja,?,NE,BA,pequena,cluster2
manejo,?,?,NE,PE,media,cluster2
manejo,?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
manejo,melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
manejo,?,?,NE,PE,media,cluster2
manejo,?,?,NE,MA,media,cluster2
manejo,?,?,NE,PE,media,cluster2
adubacao,?,neossolo,NE,PI,media,cluster2
manejo,?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
adubacao,?,?,NE,CE,media,cluster2
manejo,?,?,NE,MA,media,cluster2
adubacao,?,?,NE,PE,media,cluster2
manejo,?,?,NE,SE,media,cluster2
manejo,?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
manejo,cenoura,?,NE,CE,media,cluster2
manejo,beterraba,?,NE,CE,media,cluster2
'manejo organico',milho,?,NE,CE,media,cluster2
'manejo organico',cenoura,?,NE,CE,media,cluster2
'manejo organico',beterraba,?,NE,CE,media,cluster2
adubacao,milho,?,NE,CE,media,cluster2
adubacao,cenoura,?,NE,CE,media,cluster2
adubacao,beterraba,?,NE,CE,media,cluster2
'adubacao organica',?,?,NE,PE,media,cluster2
adubacao,?,?,NE,PE,media,cluster2
manejo,melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
manejo,melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
manejo,melao,?,NE,PE,media,cluster2
manejo,melao,?,NE,RN,media,cluster2
manejo,melao,?,NE,CE,media,cluster2
'adubacao organica',banana,?,NE,BA,media,cluster2
adubacao,banana,?,NE,BA,media,cluster2
manejo,banana,latossolo,NE,BA,media,cluster2
manejo,girassol,latossolo,NE,BA,media,cluster2
manejo,?,?,NE,BA,media,cluster2
'plantio direto',?,latossolo,NE,PI,media,cluster2
'plantio direto',?,latossolo,NE,PI,media,cluster2
manejo,?,latossolo,NE,PI,media,cluster2
adubacao,?,neossolo,NE,PI,media,cluster2
manejo,?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
manejo,?,?,NE,PE,media,cluster2
manejo,?,?,NE,RN,media,cluster2
manejo,?,organossolo,NE,BA,media,cluster2
manejo,?,vertissolo,NE,BA,media,cluster2
manejo,?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
manejo,?,?,NE,BA,media,cluster2
manejo,?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
manejo,?,?,NE,BA,media,cluster2
manejo,soja,?,NE,BA,media,cluster2
adubacao,soja,?,NE,BA,media,cluster2
manejo,?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
'plantio direto',?,latossolo,NE,PI,media,cluster2
'plantio direto',?,latossolo,NE,PI,media,cluster2
manejo,?,latossolo,NE,PI,media,cluster2
manejo,melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
manejo,?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
manejo,?,latossolo,NE,PE,media,cluster2
npk,?,?,NE,BA,media,cluster2
adubacao,?,?,NE,BA,media,cluster2
manejo,cana-de-acucar,argissolo,NE,AL,media,cluster2
manejo,nogueira,argissolo,NE,AL,media,cluster2
manejo,?,?,NE,CE,media,cluster2
biofertilizante,?,?,NE,CE,media,cluster2
biofertilizante,?,?,NE,CE,media,cluster2
'plantio direto',?,latossolo,NE,PI,media,cluster2
manejo,?,latossolo,NE,PI,media,cluster2
manejo,melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
'manejo de irrigacao',melancia,?,NE,CE,media,cluster2
manejo,manga,?,NE,BA,media,cluster2
adubacao,?,?,NE,PE,media,cluster2
manejo,?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
manejo,?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
'manejo de irrigacao',?,?,NE,PI,media,cluster2
manejo,?,?,NE,PE,media,cluster2
manejo,seringueira,?,NE,PB,media,cluster2
'plantio direto',soja,?,NE,BA,media,cluster2
'plantio direto',soja,?,NE,BA,media,cluster2
manejo,soja,?,NE,BA,media,cluster2
adubacao,soja,?,NE,BA,media,cluster2
manejo,?,latossolo,NE,PB,media,cluster2
manejo,melancia,?,NE,PI,media,cluster2
manejo,?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
manejo,?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
'manejo de irrigacao',?,?,NE,BA,media,cluster2
adubacao,maca,?,NE,BA,media,cluster2
manejo,?,?,NE,PE,media,cluster2
manejo,?,?,NE,BA,media,cluster2
